title,publication_url,pdf_link
"Charisi et al.,Artificial Intelligence and the Rights of the Child: Towards an Integrated Agenda for Research and Policy",https://publications.jrc.ec.europa.eu/repository/handle/JRC127564,N/A
"Escobar-Planas,Towards Trustworthy Conversational Agents for Children",https://dl.acm.org/doi/abs/10.1145/3501712.3538826,N/A
"Izquierdo et al.,Vehicle trajectory prediction on highways using bird eye view representations and deep learning",https://link.springer.com/article/10.1007/s10489-022-03961-y,N/A
"Chraibi Kaadoud et al.,Explaining Aha! moments in artificial agents through IKE-XAI: Implicit Knowledge Extraction for eXplainable AI",https://www.sciencedirect.com/science/article/pii/S0893608022003021,N/A
"Behjati et al.,Single Image Super-Resolution Based on Directional Variance Attention Network",https://www.sciencedirect.com/science/article/pii/S0031320322004770,N/A
"Estevez Almenzar et al.,Glossary of human-centric artificial intelligence",https://publications.jrc.ec.europa.eu/repository/handle/JRC129614,N/A
"Escobar-Planas et al.,Guidelines to Develop Trustworthy Conversational Agents for Children",https://arxiv.org/abs/2209.02403,https://arxiv.org/pdf/2209.02403.pdf
"Garcia Daza et al.,Sim-to-real transfer and reality gap modeling in model predictive control for autonomous driving",https://link.springer.com/article/10.1007/s10489-022-04148-1,N/A
"Hernández Martínez et al.,Towards view-invariant vehicle speed detection from driving simulator images",https://arxiv.org/abs/2206.00343,https://arxiv.org/pdf/2206.00343.pdf
"Martín Serrano et al.,Insertion of real agents behaviors in CARLA autonomous driving simulator",https://arxiv.org/abs/2206.00337,https://arxiv.org/pdf/2206.00337.pdf
"Escobar-Planas et al.,“That Robot Played with Us!” Children’s Perceptions of a Robot after a Child-Robot Group Interaction",https://dl.acm.org/doi/abs/10.1145/3555118,N/A
"Charisi et al.,Exploring the Concept of Fairness in Everyday, Imaginary and Robot Scenarios: A Cross-Cultural Study With Children in Japan and Uganda",https://dl.acm.org/doi/10.1145/3459990.3465184,N/A
"Lemaignan et al.,UNICEF Guidance on AI for Children: Application to the Design of a Social Robot For and With Autistic Children",https://arxiv.org/abs/2108.12166,https://arxiv.org/pdf/2108.12166.pdf
"Portela et al.,A Comparative User Study of Human Predictions in Algorithm-Supported Recidivism Risk Assessment",https://arxiv.org/abs/2201.11080,https://arxiv.org/pdf/2201.11080.pdf
